y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,19,35,19,34,19,33,19,32,19,31,19,30,19,29,19,28,19,27,19,26,19,25,19,25,20,24,20,24,21,23,21,22,21,22,22,22,23,22,24,21,24,20,24,19,24,19,25,19,26,18,26,17,26,16,26,15,26,14,26,13,26,13,27,12,27,11,27,10,27,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,27,19,26,19,25,19,25,20,24,20,23,20,22,20,21,20,21,21,20,21,19,21,19,22,19,23,18,23,18,24,17,24,16,24,15,24,14,24,13,24,12,24,12,25,11,25,11,26,11,27,10,27,9,27,8,27,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,38,18,37,18,37,19,36,19,35,19,34,19,34,20,33,20,32,20,31,20,31,21,30,21,30,22,29,22,28,22,28,23,27,23,26,23,25,23,24,23,24,24,24,25,23,25,22,25,22,26,21,26,21,27,21,28,21,29,20,29,19,29,18,29,18,30,17,30,16,30,15,30,14,30,14,29,13,29,12,29,11,29,10,29,9,29,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,17,30,17,29,17,29,18,28,18,28,19,28,20,28,21,28,22,28,23,27,23,26,23,25,23,24,23,24,24,23,24,23,25,22,25,21,25,20,25,19,25,18,25,17,25,17,26,17,27,16,27,15,27,14,27,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,34,19,33,19,32,19,31,19,31,20,30,20,29,20,28,20,28,21,27,21,26,21,25,21,25,22,25,23,24,23,23,23,23,24,23,25,22,25,21,25,20,25,19,25,19,26,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,37,19,36,19,35,19,34,19,33,19,32,19,31,19,30,19,30,20,30,21,29,21,28,21,28,22,27,22,26,22,25,22,24,22,24,23,24,24,23,24,23,25,22,25,21,25,21,26,20,26,19,26,18,26,17,26,17,27,16,27,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,12,20,11,20,11,21,10,21,10,22,9,22,8,22,7,22,6,22,6,23,6,24,6,25,6,26,6,27,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,17,35,17,34,17,33,17,32,17,31,17,30,17,29,17,28,17,27,17,26,17,25,17,24,17,24,18,24,19,23,19,22,19,21,19,21,20,21,21,20,21,20,22,19,22,18,22,17,22,17,23,17,24,16,24,15,24,14,24,13,24,12,24,12,25,11,25,10,25,9,25,9,26,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,37,19,37,20,36,20,36,21,35,21,35,22,35,23,35,24,34,24,33,24,32,24,31,24,31,25,31,26,31,27,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,25,19,24,19,23,19,23,20,23,21,22,21,21,21,21,22,20,22,20,23,20,24,19,24,18,24,17,24,17,25,16,25,15,25,14,25,14,26,13,26,12,26,12,27,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,29,19,28,19,28,20,27,20,26,20,25,20,24,20,24,21,24,22,23,22,22,22,22,23,21,23,20,23,19,23,18,23,17,23,16,23,16,24,16,25,16,26,15,26,15,27,14,27,13,27,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,19,31,20,31,21,30,21,29,21,28,21,27,21,26,21,25,21,24,21,23,21,23,22,22,22,21,22,20,22,20,23,20,24,19,24,18,24,17,24,17,25,16,25,15,25,15,26,14,26,13,26,13,27,12,27,11,27,10,27,9,27,8,27,7,27,6,27,5,27,4,27,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,25,19,24,19,23,19,22,19,21,19,20,19,19,19,19,20,18,20,17,20,16,20,15,20,15,21,14,21,14,22,14,23,13,23,13,24,13,25,12,25,12,26,12,27,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,19,32,19,31,19,30,19,29,19,28,19,27,19,27,20,26,20,25,20,24,20,23,20,22,20,21,20,21,21,21,22,20,22,20,23,20,24,20,25,19,25,18,25,18,26,17,26,16,26,16,27,15,27,14,27,13,27,12,27,11,27,10,27,9,27,8,27,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,19,32,19,31,19,30,19,29,19,28,19,27,19,27,20,26,20,25,20,25,21,25,22,24,22,24,23,23,23,22,23,21,23,21,24,20,24,20,25,20,26,19,26,18,26,17,26,17,27,16,27,15,27,14,27,13,27,12,27,11,27,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,19,29,19,29,20,28,20,28,21,27,21,26,21,25,21,24,21,23,21,22,21,22,22,21,22,20,22,20,23,19,23,18,23,17,23,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,10,25,10,26,10,27,9,27,8,27,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,9,17,9,18,9,19,8,19,7,19,7,20,7,21,6,21,5,21,5,22,5,23,5,24,5,25,4,25,3,25,3,26,3,27,2,27,1,27,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,24,19,23,19,23,20,23,21,22,21,21,21,21,22,20,22,19,22,19,23,18,23,17,23,16,23,16,24,16,25,16,26,15,26,15,27,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,33,19,32,19,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,24,21,24,22,23,22,22,22,22,23,22,24,22,25,21,25,20,25,19,25,18,25,17,25,16,25,15,25,15,26,14,26,13,26,13,27,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,16,19,15,19,15,20,15,21,14,21,13,21,12,21,12,22,12,23,12,24,12,25,11,25,10,25,9,25,8,25,8,26,7,26,7,27,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,27,19,27,20,27,21,26,21,26,22,25,22,24,22,24,23,24,24,23,24,23,25,22,25,22,26,21,26,20,26,19,26,18,26,17,26,16,26,15,26,15,27,14,27,13,27,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,34,19,33,19,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,25,21,24,21,23,21,22,21,22,22,22,23,21,23,20,23,19,23,18,23,17,23,16,23,15,23,15,24,15,25,14,25,13,25,12,25,12,26,11,26,10,26,9,26,8,26,8,27,7,27,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,19,18,18,18,17,18,16,18,15,18,15,19,14,19,14,20,14,21,14,22,14,23,13,23,12,23,11,23,10,23,10,24,9,24,8,24,8,25,7,25,6,25,6,26,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,12,18,12,19,12,20,11,20,11,21,10,21,10,22,10,23,9,23,8,23,7,23,7,24,7,25,6,25,6,26,5,26,4,26,3,26,3,27,2,27,1,27,1,28,0,28
39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,34,19,33,19,32,19,31,19,30,19,30,20,30,21,29,21,28,21,27,21,26,21,26,22,25,22,24,22,23,22,23,23,22,23,21,23,21,24,20,24,20,25,19,25,19,26,18,26,17,26,16,26,15,26,14,26,13,26,12,26,11,26,10,26,10,27,9,27,8,27,7,27,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
