y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,37,8,37,9,37,10,37,11,37,12,36,12,35,12,34,12,33,12,33,13,33,14,33,15,33,16,33,17,33,18,33,19,33,20,33,21,32,21,32,22,31,22,31,23,31,24,31,25,31,26,31,27,31,28,31,29,31,30,30,30,30,31,30,32,30,33,30,34,29,34,28,34,27,34,26,34,25,34,24,34,23,34,22,34,21,34,20,34,19,34,18,34,18,35,17,35,16,35,15,35,14,35,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,32,7,32,8,32,9,31,9,31,10,31,11,31,12,30,12,29,12,28,12,28,13,28,14,27,14,26,14,26,15,26,16,26,17,26,18,25,18,25,19,24,19,24,20,23,20,23,21,22,21,22,22,22,23,21,23,20,23,20,24,20,25,20,26,20,27,19,27,19,28,19,29,19,30,18,30,17,30,16,30,15,30,15,31,14,31,13,31,12,31,12,32,11,32,10,32,9,32,8,32,7,32,7,33,7,34,7,35,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,33,7,32,7,31,7,30,7,30,8,30,9,29,9,29,10,29,11,29,12,28,12,28,13,28,14,27,14,27,15,26,15,26,16,26,17,25,17,24,17,24,18,24,19,24,20,23,20,23,21,23,22,22,22,22,23,21,23,21,24,21,25,21,26,20,26,19,26,19,27,19,28,19,29,18,29,17,29,17,30,17,31,17,32,17,33,16,33,16,34,16,35,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,7,30,8,29,8,28,8,27,8,27,9,27,10,26,10,25,10,25,11,24,11,24,12,23,12,22,12,21,12,21,13,21,14,21,15,21,16,21,17,20,17,19,17,18,17,17,17,16,17,16,18,15,18,14,18,14,19,14,20,14,21,14,22,14,23,14,24,14,25,13,25,13,26,13,27,13,28,12,28,11,28,11,29,11,30,11,31,10,31,9,31,9,32,9,33,9,34,8,34,7,34,6,34,5,34,5,35,4,35,3,35,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,36,7,36,8,36,9,35,9,34,9,34,10,34,11,33,11,33,12,33,13,32,13,32,14,32,15,31,15,31,16,31,17,30,17,30,18,30,19,30,20,29,20,29,21,29,22,29,23,29,24,29,25,29,26,28,26,28,27,27,27,27,28,26,28,26,29,26,30,25,30,24,30,23,30,23,31,22,31,21,31,20,31,19,31,19,32,19,33,18,33,17,33,16,33,15,33,14,33,13,33,13,34,13,35,12,35,11,35,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,5,36,5,35,5,34,5,34,4,33,4,32,4,31,4,30,4,30,3,30,2,30,1,29,1,29,0,29,1,28,1,28,2,28,3,28,4,28,5,28,6,28,7,27,7,27,8,27,9,27,10,27,11,27,12,27,13,27,14,26,14,26,15,25,15,24,15,24,16,23,16,22,16,22,17,21,17,21,18,20,18,20,19,20,20,20,21,20,22,20,23,19,23,19,24,18,24,17,24,17,25,17,26,17,27,16,27,16,28,15,28,14,28,13,28,13,29,13,30,12,30,11,30,11,31,11,32,10,32,9,32,9,33,9,34,8,34,8,35,7,35,6,35,5,35,4,35,3,35,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,35,7,34,7,33,7,32,7,31,7,31,8,30,8,29,8,29,9,29,10,28,10,27,10,26,10,26,11,26,12,26,13,26,14,26,15,26,16,26,17,26,18,26,19,25,19,24,19,23,19,22,19,22,20,22,21,21,21,21,22,21,23,21,24,21,25,20,25,19,25,19,26,19,27,18,27,18,28,18,29,17,29,16,29,15,29,14,29,13,29,13,30,13,31,13,32,12,32,11,32,11,33,10,33,10,34,9,34,8,34,7,34,6,34,5,34,4,34,3,34,2,34,2,35,1,35,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,36,7,35,7,35,8,35,9,35,10,34,10,33,10,33,11,33,12,33,13,33,14,33,15,33,16,32,16,31,16,31,17,31,18,30,18,29,18,29,19,29,20,29,21,29,22,29,23,28,23,28,24,27,24,27,25,26,25,26,26,26,27,26,28,25,28,25,29,25,30,24,30,23,30,23,31,23,32,23,33,23,34,23,35,23,36,23,37,22,37,22,38,22,39,21,39,20,39,20,38,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,5,36,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,36,8,36,9,36,10,35,10,35,11,35,12,35,13,34,13,34,14,33,14,32,14,32,15,32,16,31,16,31,17,31,18,31,19,31,20,31,21,30,21,29,21,28,21,28,22,28,23,28,24,27,24,27,25,26,25,25,25,25,26,25,27,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,17,29,17,30,16,30,16,31,16,32,15,32,14,32,13,32,12,32,11,32,11,33,11,34,11,35,10,35,9,35,8,35,7,35,6,35,5,35,4,35,4,36,3,36,2,36,1,36,0,36
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,37,7,36,7,36,8,36,9,35,9,35,10,35,11,35,12,35,13,34,13,34,14,33,14,32,14,31,14,30,14,30,15,30,16,30,17,30,18,30,19,29,19,29,20,28,20,28,21,28,22,28,23,28,24,27,24,26,24,26,25,26,26,26,27,26,28,25,28,24,28,24,29,23,29,22,29,22,30,21,30,20,30,19,30,18,30,18,31,17,31,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,10,33,9,33,8,33,7,33,6,33,6,34,6,35,6,36,5,36,4,36,3,36,2,36,1,36,0,36
